1,4.14,10.94,266.32,10.44,247.99
2,4.10,10.85,269.91,10.49,254.54
3,4.06,11.16,268.12,9.94,242.66
4,4.16,11.00,266.58,10.70,263.31
5,4.19,11.14,262.56,10.59,256.33
6,4.27,11.41,264.31,10.55,255.52
7,4.63,11.52,265.29,11.26,263.69
8,4.46,11.25,262.72,11.18,265.69
9,4.67,11.39,259.43,11.28,263.43
9,4.67,11.39,259.43,11.28,263.43
10,4.92,11.66,263.50,11.99,267.34
11,4.86,11.63,263.28,11.42,260.18
12,5.05,11.73,264.26,12.00,262.28
13,4.77,11.53,254.69,11.54,253.76
14,4.92,11.88,258.37,11.47,253.19
15,5.26,11.93,257.18,12.07,258.14
16,5.15,11.92,259.08,11.89,260.96
17,5.11,12.05,257.59,11.70,254.08
18,5.07,12.00,255.09,11.65,244.62
19,5.20,12.12,255.11,11.70,243.50
20,5.61,12.31,259.27,12.40,249.07
21,5.35,12.23,259.61,11.93,241.56
22,5.29,12.22,260.83,11.65,239.06
23,5.27,12.26,264.13,11.84,242.28
24,5.31,12.52,253.56,11.32,230.11
25,5.43,12.41,257.53,11.90,235.76
26,5.05,12.05,256.18,11.75,237.05
27,5.28,12.30,262.22,12.13,241.52
28,5.77,12.60,264.26,12.69,246.74
29,5.69,12.49,262.82,12.40,247.28
30,5.80,12.52,264.44,12.76,243.59
31,5.91,12.52,265.61,13.07,248.23
32,5.91,12.32,265.84,13.11,250.91
33,5.58,12.04,268.62,12.83,253.30
34,5.73,11.95,266.43,13.30,247.04
35,5.89,12.16,267.01,13.48,246.52
36,5.51,12.09,270.42,12.56,244.21
37,5.23,11.98,269.23,12.02,241.51
38,5.52,11.91,267.22,12.81,246.65
39,5.16,11.69,270.46,12.34,249.57
40,5.18,11.64,270.09,12.60,249.72
41,5.02,11.50,271.05,12.40,250.10
42,5.13,11.35,268.80,12.79,256.21
43,5.04,11.22,270.43,12.64,258.62
44,4.75,11.18,271.55,11.80,253.90
45,4.20,11.02,269.44,10.65,244.89
46,4.18,10.76,271.40,10.89,252.42
47,4.34,11.04,269.71,10.96,250.40
48,4.05,10.66,269.04,10.56,253.62
49,4.42,11.08,273.23,11.10,258.31
50,3.82,10.68,265.17,9.84,244.45
51,3.96,11.10,269.48,9.96,250.51
52,3.81,10.98,267.44,9.65,236.62
