Date,WeekNumber,WeeklyHs,WeeklyTp,WeeklyWaveDir,WeeklyWindSpd,WeeklyWindDir
26-Apr,17,4.937,11.549,261.912,12.229,270.384
27-Apr,17,4.937,11.549,261.912,12.229,270.384
28-Apr,17,4.937,11.549,261.912,12.229,270.384
29-Apr,17,4.937,11.549,261.912,12.229,270.384
30-Apr,18,4.952,11.824,266.995,11.640,255.171
1-May,18,4.952,11.824,266.995,11.640,255.171
2-May,18,4.952,11.824,266.995,11.640,255.171
3-May,18,4.952,11.824,266.995,11.640,255.171
4-May,18,4.952,11.824,266.995,11.640,255.171
5-May,18,4.952,11.824,266.995,11.640,255.171
6-May,18,4.952,11.824,266.995,11.640,255.171
7-May,19,4.892,11.724,247.753,11.308,237.408
8-May,19,4.892,11.724,247.753,11.308,237.408
9-May,19,4.892,11.724,247.753,11.308,237.408
10-May,19,4.892,11.724,247.753,11.308,237.408
11-May,19,4.892,11.724,247.753,11.308,237.408
12-May,19,4.892,11.724,247.753,11.308,237.408
13-May,19,4.892,11.724,247.753,11.308,237.408
14-May,20,5.313,12.181,259.527,11.793,242.760
15-May,20,5.313,12.181,259.527,11.793,242.760
16-May,20,5.313,12.181,259.527,11.793,242.760
17-May,20,5.313,12.181,259.527,11.793,242.760
18-May,20,5.313,12.181,259.527,11.793,242.760
19-May,20,5.313,12.181,259.527,11.793,242.760
20-May,20,5.313,12.181,259.527,11.793,242.760
21-May,21,5.212,11.875,259.771,12.126,247.230
22-May,21,5.212,11.875,259.771,12.126,247.230
23-May,21,5.212,11.875,259.771,12.126,247.230
24-May,21,5.212,11.875,259.771,12.126,247.230
25-May,21,5.212,11.875,259.771,12.126,247.230
26-May,21,5.212,11.875,259.771,12.126,247.230
27-May,21,5.212,11.875,259.771,12.126,247.230
28-May,22,5.025,11.398,262.352,11.445,215.978
29-May,22,5.025,11.398,262.352,11.445,215.978
30-May,22,5.025,11.398,262.352,11.445,215.978
31-May,22,5.025,11.398,262.352,11.445,215.978
1-Jun,22,5.025,11.398,262.352,11.445,215.978
2-Jun,22,5.025,11.398,262.352,11.445,215.978
3-Jun,22,5.025,11.398,262.352,11.445,215.978
4-Jun,23,4.953,11.710,266.541,11.941,238.302
5-Jun,23,4.953,11.710,266.541,11.941,238.302
6-Jun,23,4.953,11.710,266.541,11.941,238.302
7-Jun,23,4.953,11.710,266.541,11.941,238.302
8-Jun,23,4.953,11.710,266.541,11.941,238.302
9-Jun,23,4.953,11.710,266.541,11.941,238.302
10-Jun,23,4.953,11.710,266.541,11.941,238.302
11-Jun,24,5.331,12.193,248.694,10.962,232.878
12-Jun,24,5.331,12.193,248.694,10.962,232.878
13-Jun,24,5.331,12.193,248.694,10.962,232.878
14-Jun,24,5.331,12.193,248.694,10.962,232.878
15-Jun,24,5.331,12.193,248.694,10.962,232.878
16-Jun,24,5.331,12.193,248.694,10.962,232.878
17-Jun,24,5.331,12.193,248.694,10.962,232.878
18-Jun,25,6.127,12.212,254.401,13.370,248.862
19-Jun,25,6.127,12.212,254.401,13.370,248.862
20-Jun,25,6.127,12.212,254.401,13.370,248.862
21-Jun,25,6.127,12.212,254.401,13.370,248.862
22-Jun,25,6.127,12.212,254.401,13.370,248.862
23-Jun,25,6.127,12.212,254.401,13.370,248.862
24-Jun,25,6.127,12.212,254.401,13.370,248.862
25-Jun,26,4.582,10.530,247.468,12.383,233.215
26-Jun,26,4.582,10.530,247.468,12.383,233.215
27-Jun,26,4.582,10.530,247.468,12.383,233.215
28-Jun,26,4.582,10.530,247.468,12.383,233.215
29-Jun,26,4.582,10.530,247.468,12.383,233.215
30-Jun,26,4.582,10.530,247.468,12.383,233.215
1-Jul,26,4.582,10.530,247.468,12.383,233.215
2-Jul,27,5.237,11.807,271.892,12.487,254.173
3-Jul,27,5.237,11.807,271.892,12.487,254.173
4-Jul,27,5.237,11.807,271.892,12.487,254.173
5-Jul,27,5.237,11.807,271.892,12.487,254.173
6-Jul,27,5.237,11.807,271.892,12.487,254.173
7-Jul,27,5.237,11.807,271.892,12.487,254.173
8-Jul,27,5.237,11.807,271.892,12.487,254.173
9-Jul,28,6.108,12.747,271.715,13.436,254.820
10-Jul,28,6.108,12.747,271.715,13.436,254.820
11-Jul,28,6.108,12.747,271.715,13.436,254.820
12-Jul,28,6.108,12.747,271.715,13.436,254.820
13-Jul,28,6.108,12.747,271.715,13.436,254.820
14-Jul,28,6.108,12.747,271.715,13.436,254.820
15-Jul,28,6.108,12.747,271.715,13.436,254.820
16-Jul,29,5.839,12.121,258.578,12.802,253.689
17-Jul,29,5.839,12.121,258.578,12.802,253.689
18-Jul,29,5.839,12.121,258.578,12.802,253.689
19-Jul,29,5.839,12.121,258.578,12.802,253.689
20-Jul,29,5.839,12.121,258.578,12.802,253.689
21-Jul,29,5.839,12.121,258.578,12.802,253.689
22-Jul,29,5.839,12.121,258.578,12.802,253.689
23-Jul,30,5.861,11.990,259.305,13.305,241.278
24-Jul,30,5.861,11.990,259.305,13.305,241.278
25-Jul,30,5.861,11.990,259.305,13.305,241.278
26-Jul,30,5.861,11.990,259.305,13.305,241.278
27-Jul,30,5.861,11.990,259.305,13.305,241.278
28-Jul,30,5.861,11.990,259.305,13.305,241.278
29-Jul,30,5.861,11.990,259.305,13.305,241.278
30-Jul,31,5.092,11.914,248.855,12.046,220.635
31-Jul,31,5.092,11.914,248.855,12.046,220.635
1-Aug,31,5.092,11.914,248.855,12.046,220.635
2-Aug,31,5.092,11.914,248.855,12.046,220.635
3-Aug,31,5.092,11.914,248.855,12.046,220.635
4-Aug,31,5.092,11.914,248.855,12.046,220.635
5-Aug,31,5.092,11.914,248.855,12.046,220.635
6-Aug,32,5.605,11.781,258.570,13.635,251.279
7-Aug,32,5.605,11.781,258.570,13.635,251.279
8-Aug,32,5.605,11.781,258.570,13.635,251.279
9-Aug,32,5.605,11.781,258.570,13.635,251.279
10-Aug,32,5.605,11.781,258.570,13.635,251.279
11-Aug,32,5.605,11.781,258.570,13.635,251.279
12-Aug,32,5.605,11.781,258.570,13.635,251.279
13-Aug,33,5.306,11.223,277.609,13.386,265.197
14-Aug,33,5.306,11.223,277.609,13.386,265.197
15-Aug,33,5.306,11.223,277.609,13.386,265.197
16-Aug,33,5.306,11.223,277.609,13.386,265.197
17-Aug,33,5.306,11.223,277.609,13.386,265.197
18-Aug,33,5.306,11.223,277.609,13.386,265.197
19-Aug,33,5.306,11.223,277.609,13.386,265.197
20-Aug,34,4.934,11.091,263.462,12.634,238.788
21-Aug,34,4.934,11.091,263.462,12.634,238.788
22-Aug,34,4.934,11.091,263.462,12.634,238.788
23-Aug,34,4.934,11.091,263.462,12.634,238.788
24-Aug,34,4.934,11.091,263.462,12.634,238.788
25-Aug,34,4.934,11.091,263.462,12.634,238.788
26-Aug,34,4.934,11.091,263.462,12.634,238.788
27-Aug,35,5.469,11.386,267.383,13.373,242.051
28-Aug,35,5.469,11.386,267.383,13.373,242.051
29-Aug,35,5.469,11.386,267.383,13.373,242.051
30-Aug,35,5.469,11.386,267.383,13.373,242.051
31-Aug,35,5.469,11.386,267.383,13.373,242.051
1-Sep,35,5.469,11.386,267.383,13.373,242.051
2-Sep,35,5.469,11.386,267.383,13.373,242.051
3-Sep,36,4.988,11.317,278.098,12.536,241.257
4-Sep,36,4.988,11.317,278.098,12.536,241.257
5-Sep,36,4.988,11.317,278.098,12.536,241.257
6-Sep,36,4.988,11.317,278.098,12.536,241.257
7-Sep,36,4.988,11.317,278.098,12.536,241.257
8-Sep,36,4.988,11.317,278.098,12.536,241.257
9-Sep,36,4.988,11.317,278.098,12.536,241.257
10-Sep,37,4.248,11.263,268.330,10.735,219.290
