2010-01-11 03:00:00,4.4,12.07,261.84,11.1612,258.318
2010-01-11 06:00:00,4.02,11.99,257.48,9.34607,262.685
2010-01-11 09:00:00,3.73,11.88,253.32,5.49925,260.898
2010-01-11 12:00:00,3.5,11.8,250.93,3.81203,232.89
2010-01-11 15:00:00,3.28,11.73,249.47,4.17738,242.638
2010-01-11 18:00:00,3.09,11.62,248.56,5.90827,283.707
2010-01-11 21:00:00,2.93,11.31,251.11,4.75564,286.492
2010-01-12 00:00:00,2.83,11.06,249.89,4.91102,288.398
2010-01-12 03:00:00,2.79,10.92,247.68,4.27482,276.178
2010-01-12 06:00:00,2.82,10.79,243.36,5.42072,258.4
2010-01-12 09:00:00,2.88,10.68,241.76,5.74443,249.199
2010-01-12 12:00:00,2.92,10.6,249.23,7.02631,255.746
2010-01-12 15:00:00,2.96,10.58,260.27,11.3775,252.823
2010-01-12 18:00:00,3.28,10.58,267.05,13.8257,262.269
2010-01-12 21:00:00,3.81,8.44,267.47,13.5142,261.061
2010-01-13 00:00:00,4.18,9.02,272.18,10.925,263.747
2010-01-13 03:00:00,4.27,9.55,273.46,6.74266,306.071
2010-01-13 06:00:00,4.3,16.22,251.49,8.75728,313.427
2010-01-13 09:00:00,4.42,16.2,253.11,10.5968,288.486
2010-01-13 12:00:00,4.71,16.1,255.62,14.7075,290.789
2010-01-13 15:00:00,5.08,15.9,259.76,12.4425,294.856
2010-01-13 18:00:00,5.28,15.3,252.34,12.6018,308.88
2010-01-13 21:00:00,5.33,14.67,254.46,10.573,307.661
2010-01-14 00:00:00,5.25,14.49,257.84,8.53607,314.003
2010-01-14 03:00:00,5.1,14.3,262.63,7.64309,277.367
2010-01-14 06:00:00,4.94,14.05,267.4,5.712,273.714
2010-01-14 09:00:00,4.79,13.51,260.6,5.66359,260.754
2010-01-14 12:00:00,4.63,13.28,262.81,4.3101,269.601
2010-01-14 15:00:00,4.46,13.17,265.45,6.85036,270.586
2010-01-14 18:00:00,4.38,13.29,269.26,11.1262,239.84
2010-01-14 21:00:00,4.55,13.59,273.36,12.3196,225.987
2010-01-15 00:00:00,4.84,13.15,273.09,12.3218,229.147
2010-01-15 03:00:00,5.03,12.79,270.96,14.1148,204.441
2010-01-15 06:00:00,4.95,12.42,270.13,13.2124,198.902
