MONTH	DAY	YEAR	HOUR	WAVE HEIGHT(M)	WAVE PERIOD	WAVE DIRECTION	WIND SPEED(M/S)	WIND DIRECTION
02	6	1979	18	1.65	14.66	208.64	4.27908	257.036
02	6	1979	21	1.64	14.48	209.19	5.71854	246.394
02	7	1979	0	1.66	14.39	209.53	5.76184	252.006
02	7	1979	3	1.65	14.32	209.74	3.67633	249.791
02	7	1979	6	1.65	14.24	209.85	2.55766	282.189
02	7	1979	9	1.64	14.11	209.77	2.72443	349.639
02	7	1979	12	1.64	17.36	216.65	3.33708	27.8704
02	7	1979	15	1.63	17.06	216.37	3.14727	46.1585
02	7	1979	18	1.63	16.78	216.49	2.49062	150.141
02	7	1979	21	1.64	16.59	216.84	4.42159	157.669
02	8	1979	0	1.64	16.45	217.1	3.79891	118.454
02	8	1979	3	1.63	16.31	217.1	4.55054	89.1184
02	8	1979	6	1.62	16.1	216.75	2.78684	64.7222
02	8	1979	9	1.59	15.75	216.97	2.605	38.4536
02	8	1979	12	1.56	15.56	217.07	3.47807	21.7707
02	8	1979	15	1.54	15.43	217.21	3.6479	356.228
02	8	1979	18	1.51	15.32	217.17	1.78488	352.596
02	8	1979	21	1.47	15.2	216.81	2.39134	235.048
02	9	1979	0	1.43	14.97	216.99	4.28753	279.397
02	9	1979	3	1.39	14.69	216.92	0.742024	307.333
02	9	1979	6	1.36	14.53	216.92	2.26991	352.405
02	9	1979	9	1.34	14.43	216.88	3.54818	36.2885
02	9	1979	12	1.32	14.36	216.61	5.01646	59.4475
02	9	1979	15	1.29	14.3	216.04	4.20602	60.2043
02	9	1979	18	1.26	14.23	215.22	4.9027	139.715
02	9	1979	21	1.32	14.1	214.17	7.13852	136.873
02	10	1979	0	1.45	17.77	213.51	4.3911	99.5693
02	10	1979	3	1.58	17.76	212.72	6.37257	65.5261
02	10	1979	6	1.59	17.75	211.96	5.11038	54.8792
02	10	1979	15	1.16	16.67	214.19	3.59089	54.4066
02	10	1979	18	1.06	16.62	213.71	4.69834	158.787
02	10	1979	21	1.03	16.61	213.12	4.90315	171.556
02	11	1979	0	1	16.6	212.65	2.86149	187.026
02	11	1979	3	0.95	16.56	212.14	0.828553	240.341
02	11	1979	6	0.92	16.39	211.55	2.43002	306.634
02	11	1979	9	0.93	15.73	214.26	2.33944	354.85
02	11	1979	12	0.95	15.58	213.88	2.98188	29.3158
02	11	1979	15	0.97	15.54	213.53	3.08769	55.0231
02	11	1979	18	0.96	15.52	213.22	3.54036	179.19
02	11	1979	21	0.96	15.5	212.97	5.29485	193.433
02	12	1979	0	0.96	15.46	212.75	3.34186	222.09
02	12	1979	3	0.96	15.31	212.46	2.6552	286.183
02	12	1979	6	0.98	14.81	213.89	3.37469	342.585
02	12	1979	9	1.01	14.63	213.69	3.89786	21.3646
02	12	1979	12	1.02	14.59	213.54	4.19968	25.8328
02	12	1979	15	1.02	14.58	213.5	3.28032	41.4159
02	12	1979	18	1	14.57	213.47	3.71171	192.764
02	12	1979	21	1.02	14.57	213.35	5.3155	185.614
02	13	1979	0	1.03	16.42	214.03	3.06571	185.804
02	13	1979	3	1.03	16.38	213.8	1.38716	201.572
02	13	1979	6	1.04	16.26	213.5	3.66236	336.165
02	13	1979	9	1.09	15.52	213.3	4.20215	350.964
02	13	1979	12	1.13	15.34	213.72	3.04726	24.6306
02	13	1979	15	1.13	15.28	213.83	3.00416	71.5649
02	13	1979	18	1.12	15.22	213.7	4.12587	176.943
02	13	1979	21	1.14	15.11	213.42	5.9071	202.18
02	14	1979	0	1.16	14.65	212.82	3.01771	202.401
02	14	1979	3	1.14	14.42	213.11	1.38957	214.148
02	14	1979	6	1.14	14.32	213.3	2.2102	15.4824
02	14	1979	9	1.17	14.25	213.36	4.22019	16.8032
02	14	1979	12	1.21	14.19	213.23	3.74092	23.1382
02	14	1979	15	1.22	14.1	213.02	2.22284	31.7594
02	14	1979	18	1.23	19.04	205.25	3.2816	203.91
02	14	1979	21	1.24	18.9	204.33	4.69521	225.173
02	15	1979	0	1.26	18.38	207.99	2.59956	245.21
02	15	1979	3	1.27	17.95	207.25	0.854401	343.686
02	15	1979	6	1.28	17.85	206.5	1.24201	37.1466
02	15	1979	9	1.31	17.75	205.79	1.99842	348.746
02	15	1979	12	1.34	17.54	205.08	3.61023	334.926
02	15	1979	15	1.39	16.95	207.95	3.00741	324.883
02	15	1979	18	1.42	16.78	207.27	3.65378	243.155
02	15	1979	21	1.44	16.71	206.62	4.46992	229.719
02	16	1979	0	1.46	16.63	206.04	3.43677	235.432
02	16	1979	3	1.48	16.46	205.52	1.54289	296.565
02	16	1979	6	1.51	16.04	207.45	1.39014	322.306
02	16	1979	9	1.55	15.83	206.83	1.95256	326.066
02	16	1979	12	1.58	15.74	206.3	3.30436	330.642
02	16	1979	15	1.6	15.65	205.92	2.564	329.535
02	16	1979	18	1.59	15.53	205.63	4.15639	220.512
02	16	1979	21	1.6	15.36	205.35	4.36634	237.439
02	17	1979	0	1.59	15.18	204.99	2.60231	277.508
02	17	1979	3	1.58	15.02	204.35	2.67092	326.607
02	17	1979	6	1.57	14.85	206.15	2.03404	322.792
02	17	1979	9	1.57	14.68	206.43	1.86344	12.3954
02	17	1979	12	1.56	14.54	206.45	1.54305	25.7346
02	17	1979	15	1.55	14.43	206.18	0.965399	346.827
02	17	1979	18	1.54	14.36	205.67	4.432	206.97
02	17	1979	21	1.53	14.31	204.98	3.52477	207.729
02	18	1979	0	1.5	14.25	204.12	1.91442	310.764
02	18	1979	3	1.46	14.13	203.19	2.85507	356.586
02	19	1979	12	1.35	14	201.86	4.6191	30.0064
02	19	1979	15	1.27	14.08	209.46	3.26833	46.7356
02	19	1979	18	1.2	14.04	210.01	5.03001	180.114
02	21	1979	0	1.12	15.67	210.36	1.7322	204.198
02	21	1979	3	1.15	15.79	207.81	1.27941	332.033
02	21	1979	6	1.19	16.02	205.16	1.38924	30.2563
02	21	1979	9	1.24	16.07	194.77	2.17313	23.0254
02	21	1979	12	1.27	15.62	200.01	3.1213	35.2175
02	21	1979	15	1.28	15.32	198.41	2.18112	354.211
02	21	1979	18	1.29	15.16	197.57	3.3565	210.232
02	21	1979	21	1.29	14.93	203.77	3.38993	206.263
02	22	1979	0	1.29	14.66	202.8	2.58415	246.511
02	22	1979	3	1.31	14.46	201.87	2.79729	290.508
02	22	1979	6	1.34	14.34	201.06	2.18838	304.199
02	22	1979	9	1.37	14.22	200.53	3.25885	353.835
02	22	1979	12	1.39	14.05	200.22	3.23631	20.0587
02	24	1979	15	1.43	14.36	195.16	2.878	306.95
02	24	1979	18	1.38	14.26	196.81	5.03575	243.842
02	24	1979	21	1.36	14.21	198.65	5.99731	238.987
02	25	1979	0	1.37	14.16	200.22	4.85828	257.881
02	25	1979	3	1.35	14.08	201.12	2.71752	279.532
02	26	1979	0	1.4	15.43	199.59	5.21855	233.965
02	26	1979	3	1.41	15.37	199.57	2.41033	359.049
02	26	1979	6	1.43	15.24	199.52	5.96611	34.276
02	26	1979	9	1.48	14.31	196.94	5.76351	42.0462
02	26	1979	12	1.45	14.26	197.54	4.35615	44.2558
02	26	1979	15	1.39	14.24	198.62	3.48037	46.6298
02	26	1979	18	1.34	14.16	199.82	1.52463	157.64
03	1	1979	21	1.29	15.49	210	3.02979	199.273
03	2	1979	0	1.29	15.49	208.49	1.42201	257.821
03	2	1979	3	1.28	15.48	206.51	1.853	346.264
03	2	1979	6	1.27	15.45	204.23	1.82258	336.389
03	2	1979	9	1.27	15.39	201.94	1.47787	315.274
03	2	1979	12	1.26	15.25	199.52	2.79084	332.7
03	2	1979	15	1.27	14.75	199.65	2.43214	322.518
03	2	1979	18	1.27	14.53	200.33	5.38986	252.843
03	2	1979	21	1.29	14.46	201.17	6.24937	237.149
03	3	1979	0	1.31	14.42	201.79	4.54156	252.443
03	3	1979	3	1.29	14.39	202.07	3.51135	317.77
03	3	1979	6	1.26	14.34	202.14	2.35372	310.865
03	3	1979	9	1.22	14.26	202.11	3.19532	321.48
03	3	1979	12	1.19	14.07	201.94	3.20632	320.95
03	6	1979	12	0.96	16.71	207.97	3.29257	2.26278
03	6	1979	15	0.96	16.63	207.17	1.66148	55.5446
03	6	1979	18	0.99	16.52	206.25	5.35248	174.747
03	6	1979	21	1.1	16.28	205.3	6.2802	179.543
03	7	1979	0	1.15	15.82	208.16	3.39242	175.096
03	7	1979	3	1.17	15.66	207.61	0.233452	316.736
03	7	1979	6	1.18	15.59	207.06	1.57385	49.1222
03	7	1979	9	1.21	15.53	206.37	2.28265	357.238
03	7	1979	12	1.26	15.43	205.48	3.33864	4.12225
03	7	1979	15	1.3	15.26	204.5	2.05154	29.8141
03	7	1979	18	1.34	15.02	203.73	5.24486	185.581
03	7	1979	21	1.41	14.88	207.27	6.63368	186.579
03	8	1979	0	1.44	14.81	206.52	2.83185	201.764
03	8	1979	3	1.44	14.74	205.58	0.533385	263.541
03	8	1979	6	1.45	14.68	204.64	0.590339	349.261
03	8	1979	9	1.47	14.61	203.92	1.38809	323.79
03	8	1979	12	1.48	14.55	203.5	2.44131	18.138
03	8	1979	15	1.48	14.47	203.34	2.14849	28.9509
03	8	1979	18	1.47	14.36	203.29	4.10651	165.185
03	8	1979	21	1.46	14.17	203.28	3.71228	182.007
03	10	1979	21	1.38	17.88	217.62	6.48105	223
03	11	1979	0	1.43	17.79	217.53	4.59053	246.507
03	11	1979	3	1.45	17.71	217.56	2.97	270
03	11	1979	6	1.46	17.52	217.57	3.62353	283.73
03	11	1979	9	1.47	17.02	217.98	3.04245	310.601
03	11	1979	12	1.47	16.78	218.12	2.95205	357.865
03	11	1979	15	1.46	16.68	218.2	1.19553	43.3053
03	11	1979	18	1.46	16.58	218.12	6.06901	184.537
03	11	1979	21	1.49	16.43	217.77	6.507	206.762
03	12	1979	0	1.49	16.23	217.33	5.55952	252.087
03	12	1979	3	1.49	15.94	218.72	5.14513	305.667
03	12	1979	6	1.5	15.72	218.41	3.23748	356.104
03	12	1979	9	1.49	15.57	218.02	4.03476	10.2794
03	12	1979	12	1.46	15.45	217.57	4.23792	19.29
03	12	1979	15	1.41	15.37	217.3	2.3271	56.9244
03	12	1979	18	1.37	15.3	216.98	5.84661	188.657
03	12	1979	21	1.37	15.19	216.76	5.97041	198.253
03	13	1979	0	1.34	14.87	217.79	3.97247	249.056
03	13	1979	3	1.3	14.59	217.65	4.98121	303.786
03	13	1979	6	1.28	14.48	217.51	3.38723	314.402
03	13	1979	9	1.26	14.43	217.35	2.80143	9.86573
03	13	1979	12	1.25	14.39	217.07	4.18007	21.4705
03	13	1979	15	1.23	14.34	216.74	2.5894	43.122
03	13	1979	18	1.18	14.27	216.34	4.91229	181.75
03	13	1979	21	1.19	14.15	216.04	5.97285	188.958
03	15	1979	0	1.36	14.07	211.74	4.73838	226.026
03	15	1979	3	1.32	14.04	212.09	5.92423	298.425
03	15	1979	21	1.22	16.62	203.4	7.24939	210.598
03	16	1979	0	1.25	16.48	203.87	5.03796	255.164
03	16	1979	3	1.29	16.1	204.86	4.61825	304.413
03	16	1979	6	1.33	15.76	204.6	3.88856	337.788
03	16	1979	9	1.34	15.64	204.36	4.36953	348.382
03	16	1979	12	1.34	15.49	204.85	4.06037	23.9768
03	16	1979	15	1.34	15.23	206	3.27881	73.8864
03	16	1979	18	1.35	15.02	207.18	5.60607	174.472
03	16	1979	21	1.4	15.01	206.11	6.60778	195.088
03	17	1979	0	1.42	15.03	208.62	3.20302	257.743
03	17	1979	3	1.43	14.87	206.99	4.40409	306.506
03	17	1979	6	1.47	14.51	207.73	4.96855	333.332
03	17	1979	9	1.51	14.33	208.32	4.46609	351.761
03	17	1979	12	1.51	14.29	208.67	4.49662	14.1598
03	17	1979	15	1.49	14.29	208.91	3.12014	46.948
03	17	1979	18	1.46	14.31	209.08	5.11269	184.038
03	17	1979	21	1.48	14.33	209.24	4.06528	194.823
03	18	1979	0	1.46	14.39	209.2	0.743303	342.784
03	18	1979	3	1.47	15.06	206.81	2.49435	330.455
03	18	1979	6	1.49	15.07	206.19	2.57738	320.195
03	18	1979	9	1.51	14.02	208.6	3.15571	335.872
03	18	1979	12	1.51	14.18	206.64	3.31851	6.05418
03	18	1979	15	1.5	14.17	206.09	1.84329	93.421
03	18	1979	18	1.49	14.12	205.77	4.53795	156.768
03	18	1979	21	1.51	14.02	206.58	4.36578	146.965
03	20	1979	12	1.44	16.52	199.42	1.97	351.829
03	20	1979	15	1.43	16.44	199.29	1.07056	220.834
03	20	1979	18	1.43	16.31	199.15	4.89719	206.042
03	20	1979	21	1.45	15.97	201.15	5.32531	225.989
03	21	1979	0	1.45	15.62	200.43	3.63494	245.974
03	21	1979	3	1.44	15.49	199.95	2.98283	301.985
03	21	1979	6	1.43	15.4	199.64	3.49872	311.756
03	21	1979	9	1.43	15.29	199.42	4.1699	305.138
03	21	1979	12	1.44	15.12	199.23	3.8684	314.057
03	21	1979	15	1.45	14.8	201.49	3.38615	299.745
03	21	1979	18	1.47	14.63	200.95	5.7831	244.277
03	21	1979	21	1.52	14.53	200.5	7.60608	238.714
03	22	1979	0	1.59	14.45	200.05	6.55225	251.676
03	22	1979	3	1.6	14.37	199.69	6.10712	285.675
03	22	1979	6	1.64	14.3	199.44	6.31229	291.077
03	22	1979	9	1.67	14.27	199.31	6.33853	285.089
03	22	1979	12	1.7	14.31	199.38	6.17015	284.262
03	22	1979	15	1.71	14.38	199.67	6.86477	275.769
03	22	1979	18	1.78	14.33	200.34	8.69391	259.931
03	22	1979	21	1.88	14.18	201.55	9.46385	255.685
03	23	1979	0	1.99	14.09	203.14	9.50066	267.285
03	23	1979	3	2.02	14.07	204.74	7.84689	275.558
03	23	1979	6	1.99	18.99	205.81	6.87812	288.04
03	23	1979	9	1.99	18.8	206.27	7.96377	293.378
03	23	1979	12	2	18.46	206.49	8.26281	301.035
03	23	1979	15	2.02	17.89	205.22	8.0161	286.898
03	23	1979	18	2.05	17.71	205.78	8.32517	260.459
03	23	1979	21	2.08	17.56	206.39	8.56346	251.481
03	24	1979	0	2.13	17.36	206.9	8.03	270
03	24	1979	3	2.12	16.86	205.11	5.96433	288.982
03	24	1979	6	2.1	16.58	205.74	5.69228	294.494
03	24	1979	9	2.09	16.45	206.39	5.77542	295.101
03	24	1979	12	2.09	16.35	206.94	5.25224	295.004
03	24	1979	15	2.06	16.23	207.33	4.20595	288.004
03	24	1979	18	2.04	15.96	205.96	5.54669	251.827
03	24	1979	21	2.05	15.62	206.37	7.5817	250.346
03	25	1979	0	2.07	15.47	206.82	7.58331	264.628
03	25	1979	3	2.06	15.39	207.27	6.64476	289.335
03	25	1979	6	2.01	15.34	207.75	6.0121	306.546
03	25	1979	9	1.95	15.27	208.37	5.77044	319.076
03	25	1979	12	1.9	15.23	209.21	4.62952	334.542
03	25	1979	15	1.85	15.25	209.98	2.93002	306.674
03	25	1979	18	1.81	15.3	210.5	4.16812	243.804
03	25	1979	21	1.78	15.35	210.75	4.76389	247.149
03	26	1979	0	1.76	15.38	210.94	5.0629	261.71
03	26	1979	3	1.72	15.32	211.37	2.36212	295.046
03	26	1979	6	1.69	15.08	212.2	3.5931	313.647
03	26	1979	9	1.67	14.87	210.62	4.0461	329.886
03	26	1979	12	1.65	14.88	210.65	3.87827	332.18
03	26	1979	15	1.63	15	210.8	3.40852	314.287
03	26	1979	18	1.62	15.09	211.12	3.86626	236.392
03	26	1979	21	1.63	15.03	209.7	4.40256	218.823
03	27	1979	0	1.63	14.75	210.01	2.1	216.87
03	27	1979	3	1.61	14.59	209.01	1.9056	325.476
03	27	1979	6	1.6	14.49	208.36	3.99881	334.524
03	27	1979	9	1.59	14.4	208.14	2.49339	357.011
03	27	1979	12	1.58	14.29	207.96	2.51782	19.7303
03	27	1979	15	1.57	14.12	207.7	1.37186	45.5906
03	29	1979	15	1.41	18.84	210.46	0.679117	166.373
03	29	1979	18	1.44	18.91	209.92	4.20878	210.404
03	29	1979	21	1.47	16.52	211.61	5.34135	181.288
03	30	1979	0	1.48	16.65	211.41	2.21504	140.128
03	30	1979	3	1.49	17.25	210.17	3.2131	351.769
03	30	1979	6	1.53	17.54	209.91	2.21639	349.603
03	30	1979	9	1.53	17.58	209.53	2.34307	357.064
03	30	1979	12	1.53	17.53	209.17	1.87523	18.3383
03	30	1979	15	1.53	15.71	210.52	0.434166	331.074
03	30	1979	18	1.54	16.24	209.93	4.58024	203.823
03	30	1979	21	1.57	16.37	209.84	3.67165	195.967
03	31	1979	0	1.59	16.4	209.71	2.79294	199.668
03	31	1979	3	1.59	16.39	209.5	1.96367	273.504
03	31	1979	6	1.6	16.31	209.26	2.73724	313.668
03	31	1979	9	1.61	16.02	210.34	2.3873	328.707
03	31	1979	12	1.64	15.54	210.15	3.02443	339.887
03	31	1979	15	1.65	15.45	209.94	2.05516	236.31
03	31	1979	18	1.67	15.4	209.64	5.40237	206.376
03	31	1979	21	1.7	15.35	209.15	4.15781	214.417
04	1	1979	0	1.69	15.29	208.6	1.79293	257.437
04	1	1979	3	1.69	15.17	208.04	2.66205	285.916
04	1	1979	6	1.69	14.91	209.21	2.78916	293.9
04	1	1979	9	1.68	14.62	208.71	3.17295	300.283
04	1	1979	12	1.67	14.47	208.4	2.69616	312.746
04	1	1979	15	1.65	14.38	208.27	2.51161	272.054
04	1	1979	18	1.65	14.3	208.23	5.50538	227.209
04	1	1979	21	1.68	14.22	208.12	6.11612	232.774
04	2	1979	0	1.69	14.13	207.83	5.22496	257.959
04	2	1979	3	1.69	14.03	208.06	5.08004	289.791
04	4	1979	18	1.43	17.56	195.65	3.06315	234.702
04	4	1979	21	1.47	17.34	195.86	5.43261	230.303
04	5	1979	0	1.52	16.79	194.46	4.53749	260.87
04	5	1979	3	1.54	16.55	195.3	2.81753	297.02
04	5	1979	6	1.57	16.44	196.62	3.09871	316.831
04	5	1979	9	1.59	16.35	197.64	2.31487	341.095
04	5	1979	12	1.59	16.21	198	2.43002	0.235783
04	5	1979	15	1.58	15.64	196.43	0.606383	193.349
04	5	1979	18	1.58	15.39	197.56	4.86687	205.302
04	5	1979	21	1.6	15.32	198.74	3.81182	212.356
04	6	1979	0	1.6	15.27	199.53	2.12	270
04	6	1979	3	1.58	15.18	199.93	3.20077	303.144
04	6	1979	6	1.56	14.77	197.99	2.42662	316.837
04	6	1979	9	1.55	14.39	198.72	3.09006	314.869
04	6	1979	12	1.54	14.29	199.46	2.20495	345.018
04	6	1979	15	1.53	14.24	200.09	0.494065	54.0578
04	6	1979	18	1.52	14.19	200.66	5.9412	195.323
04	6	1979	21	1.53	14.11	201.19	6.22435	221.94
04	8	1979	3	1.33	16.79	210.16	5.10813	316.904
04	8	1979	6	1.3	16.71	209.77	4.0421	335.908
04	8	1979	9	1.29	16.64	209.44	3.55557	346.003
04	8	1979	12	1.29	16.56	209.17	3.83256	357.907
04	8	1979	15	1.3	16.42	208.94	1.36418	25.6258
04	8	1979	18	1.3	16.17	208.85	4.65116	213.69
04	8	1979	21	1.34	15.8	209.5	5.79767	221.084
04	9	1979	0	1.36	15.65	209.65	4.23987	242.77
04	9	1979	3	1.36	15.57	209.7	3.11439	281.671
04	9	1979	6	1.36	15.5	209.7	4.82104	296.884
04	9	1979	9	1.37	15.42	209.62	6.45019	307.314
04	9	1979	12	1.38	15.28	209.67	6.73882	314.7
04	9	1979	15	1.42	15.01	209.65	7.1744	297.565
04	9	1979	18	1.45	14.77	209.98	8.37626	260.864
04	9	1979	21	1.55	14.68	210.25	9.67059	252.052
04	10	1979	0	1.61	14.63	210.53	7.97903	265.111
04	10	1979	3	1.58	14.58	210.82	7.03736	282.891
04	10	1979	6	1.55	14.51	211.23	6.75777	292.353
04	10	1979	9	1.5	14.44	211.78	5.64486	297.655
04	10	1979	12	1.45	14.38	212.37	4.96847	301.419
04	10	1979	15	1.43	14.33	212.9	5.76494	282.421
04	10	1979	18	1.43	14.23	213.39	6.56251	249.577
04	11	1979	18	1.55	14.22	214.42	5.58022	241.414
04	11	1979	21	1.59	14.35	214.52	6.51659	232.357
