1979,2.38
1980,2.5
1981,2.92
1982,3.19
1983,4.12
1984,2.45
1985,2.5
1986,3.13
1987,2.5
1988,3.06
1989,3.39
1990,2.42
1991,3.01
1992,2.27
1993,3.09
1994,2.24
1995,2.44
1996,3.54
1997,3.54
1998,2.8
1999,2.69
2000,2.66
2001,2.33
2002,2.38
2003,2.31
2004,2.35
2005,2.72
2006,3.24
2007,2.55
2008,2.54
2009,2.19
2010,2.77
2011,3.05
2012,2.63
2013,2.99
2014,2.7
